encoder,study,prompt,TC IoU,AR IoU,BG IoU,Mean IoU,Mean FG IoU
infused_mlp1,mask_format,"union {0,1}",0.8501,0.8955,0.9927,0.9128,0.8728
infused_mlp1,mask_format,"per-object {0,1}",0.854,0.9117,0.9937,0.9198,0.8829
infused_mlp1,mask_format,union logits +-2,0.5338,0.86,0.9879,0.7939,0.6969
infused_mlp1,mask_format,per-object logits +-2,0.5921,0.3875,0.9058,0.6284,0.4898
infused_mlp1,mask_format,union logits +-5,0.7936,0.9159,0.9937,0.901,0.8547
infused_mlp1,mask_format,per-object logits +-5,0.8424,0.8508,0.9888,0.894,0.8466
infused_mlp1,mask_format,union logits +-10,0.7736,0.9202,0.9938,0.8959,0.8469
infused_mlp1,mask_format,per-object logits +-10,0.796,0.877,0.9905,0.8879,0.8365
infused_mlp1,mask_format,union logits +-20,0.8409,0.9162,0.9938,0.917,0.8786
infused_mlp1,mask_format,per-object logits +-20,0.8221,0.8933,0.9919,0.9025,0.8577
infused_mlp1,mask_format,box,0.7232,0.6249,0.9707,0.7729,0.674
infused_mlp1,mask_format,box + per-object logits +-10,0.8709,0.8946,0.9927,0.9194,0.8827
infused_mlp1,mask_format,box + union logits +-10,0.8716,0.8832,0.9921,0.9156,0.8774
infused_mlp1,degradation,box enlarge -0.3,0.1998,0.1571,0.9443,0.4338,0.1785
infused_mlp1,degradation,box enlarge -0.2,0.4264,0.3181,0.9539,0.5661,0.3722
infused_mlp1,degradation,box enlarge -0.1,0.6638,0.5052,0.9654,0.7115,0.5845
infused_mlp1,degradation,box enlarge +0.0,0.7232,0.6249,0.9707,0.7729,0.674
infused_mlp1,degradation,box enlarge +0.1,0.5887,0.5694,0.9588,0.7056,0.579
infused_mlp1,degradation,box enlarge +0.2,0.4633,0.4844,0.9402,0.6293,0.4738
infused_mlp1,degradation,box enlarge +0.3,0.3568,0.4093,0.919,0.5617,0.383
infused_mlp1,degradation,box enlarge +0.5,0.2338,0.2942,0.8665,0.4648,0.264
infused_mlp1,degradation,mask morph -9px,0.4549,0.7645,0.9831,0.7342,0.6097
infused_mlp1,degradation,mask morph -5px,0.6117,0.8643,0.9897,0.8219,0.738
infused_mlp1,degradation,mask morph -3px,0.7058,0.9051,0.9926,0.8678,0.8055
infused_mlp1,degradation,mask morph +0px,0.7736,0.9202,0.9938,0.8959,0.8469
infused_mlp1,degradation,mask morph +3px,0.8262,0.9162,0.9937,0.912,0.8712
infused_mlp1,degradation,mask morph +5px,0.8521,0.8904,0.9918,0.9115,0.8713
infused_mlp1,degradation,mask morph +9px,0.7953,0.8165,0.9852,0.8657,0.8059
infused_mlp1,degradation,box + 1 false boxes,0.5744,0.5781,0.9633,0.7053,0.5763
infused_mlp1,degradation,box + 3 false boxes,0.4135,0.4841,0.9452,0.6143,0.4488
infused_mlp1,degradation,box drop 25% objects,0.548,0.4833,0.9617,0.6644,0.5157
infused_mlp1,degradation,box drop 50% objects,0.3746,0.3498,0.9541,0.5595,0.3622
