encoder,decoder,study,prompt,TC IoU,AR IoU,BG IoU,Mean IoU,Mean FG IoU
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,mask_format,"union {0,1}",0.5031,0.8344,0.987,0.7748,0.6688
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,mask_format,"per-object {0,1}",0.5245,0.8591,0.9885,0.7907,0.6918
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,mask_format,union logits +-2,0.3214,0.8676,0.9872,0.7254,0.5945
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,mask_format,per-object logits +-2,0.5071,0.6438,0.9645,0.7051,0.5755
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,mask_format,union logits +-5,0.6254,0.8848,0.9909,0.8337,0.7551
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,mask_format,per-object logits +-5,0.7248,0.8759,0.9901,0.8636,0.8004
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,mask_format,union logits +-10,0.6236,0.879,0.9905,0.831,0.7513
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,mask_format,per-object logits +-10,0.6601,0.8819,0.9902,0.8441,0.771
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,mask_format,union logits +-20,0.7461,0.8748,0.991,0.8706,0.8104
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,mask_format,per-object logits +-20,0.7211,0.9002,0.992,0.8711,0.8107
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,mask_format,box,0.6757,0.5927,0.969,0.7458,0.6342
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,mask_format,box + per-object logits +-10,0.8375,0.8087,0.9868,0.8777,0.8231
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,mask_format,box + union logits +-10,0.8354,0.7705,0.9848,0.8636,0.803
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,box enlarge -0.3,0.3187,0.1634,0.9477,0.4766,0.241
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,box enlarge -0.2,0.4636,0.3742,0.9587,0.5988,0.4189
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,box enlarge -0.1,0.6187,0.5448,0.9681,0.7105,0.5817
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,box enlarge +0.0,0.6757,0.5927,0.969,0.7458,0.6342
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,box enlarge +0.1,0.6424,0.5552,0.9629,0.7202,0.5988
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,box enlarge +0.2,0.5854,0.5162,0.9568,0.6861,0.5508
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,box enlarge +0.3,0.522,0.4813,0.9511,0.6515,0.5017
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,box enlarge +0.5,0.4392,0.4301,0.9412,0.6035,0.4347
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,mask morph -9px,0.3525,0.7009,0.9788,0.6774,0.5267
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,mask morph -5px,0.4765,0.7998,0.9852,0.7539,0.6382
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,mask morph -3px,0.5584,0.8488,0.9885,0.7986,0.7036
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,mask morph +0px,0.6236,0.879,0.9905,0.831,0.7513
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,mask morph +3px,0.6886,0.8978,0.9919,0.8594,0.7932
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,mask morph +5px,0.7579,0.9038,0.9925,0.8847,0.8308
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,mask morph +9px,0.8183,0.868,0.9899,0.8921,0.8432
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,box + 1 false boxes,0.6399,0.5789,0.9669,0.7286,0.6094
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,box + 3 false boxes,0.6035,0.5391,0.9615,0.7014,0.5713
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,box drop 25% objects,0.4981,0.4608,0.9607,0.6399,0.4795
infused_mlp1,decoder_adapt_mpg_seg_s0_bbox_oof_s0,degradation,box drop 50% objects,0.3401,0.3348,0.9536,0.5428,0.3374
