encoder,path,prompt,TC IoU,AR IoU,BG IoU,Mean IoU,Mean FG IoU
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,-,CG-Net alone (baseline),0.3494,0.3817,0.9399,0.557,0.3655
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,original,bbox pos=0 neg=0 enlarge=0.0,0.339,0.363,0.9345,0.5455,0.351
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,fixed,bbox pos=0 neg=0 enlarge=0.0,0.3414,0.369,0.9394,0.5499,0.3552
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,original,point+bbox pos=10 neg=5 enlarge=0.0,0.3181,0.3254,0.9118,0.5184,0.3217
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,fixed,point+bbox pos=10 neg=5 enlarge=0.0,0.3235,0.3427,0.9203,0.5288,0.3331
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,original,point+bbox pos=15 neg=10 enlarge=0.0,0.3232,0.3115,0.9045,0.513,0.3173
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,fixed,point+bbox pos=15 neg=10 enlarge=0.0,0.3252,0.3305,0.9145,0.5234,0.3278
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,original,bbox pos=0 neg=0 enlarge=0.1,0.3062,0.3436,0.9195,0.5231,0.3249
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,fixed,bbox pos=0 neg=0 enlarge=0.1,0.3073,0.3582,0.9274,0.5309,0.3327
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,original,bbox pos=0 neg=0 enlarge=-0.1,0.3315,0.3294,0.9412,0.5341,0.3305
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,fixed,bbox pos=0 neg=0 enlarge=-0.1,0.3327,0.3267,0.9443,0.5346,0.3297
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,original,point pos=5 neg=10 enlarge=0.0,0.3139,0.3236,0.9198,0.5191,0.3188
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,fixed,point pos=5 neg=10 enlarge=0.0,0.3178,0.3373,0.9276,0.5276,0.3276
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,original,point pos=5 neg=5 enlarge=0.0,0.3093,0.3259,0.9238,0.5196,0.3176
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,fixed,point pos=5 neg=5 enlarge=0.0,0.3128,0.3375,0.9307,0.527,0.3252
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,original,point pos=1 neg=3 enlarge=0.0,0.3138,0.2774,0.9367,0.5093,0.2956
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,fixed,point pos=1 neg=3 enlarge=0.0,0.3171,0.2713,0.9394,0.5093,0.2942
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,original,point pos=10 neg=10 enlarge=0.0,0.2847,0.3031,0.9029,0.4969,0.2939
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,fixed,point pos=10 neg=10 enlarge=0.0,0.2923,0.3262,0.9153,0.5113,0.3093
