weights,conf_threshold,output,TC IoU,AR IoU,BG IoU,Mean IoU,Mean FG IoU,TC recall,TC precision,TC objects,AR recall,AR precision,AR objects
exp/cgnet_bbox_weight.pth,0.3,own (filled boxes),0.1646,0.1462,0.7313,0.3473,0.1554,,,,,,
exp/cgnet_bbox_weight.pth,0.3,sam_bbox,0.2119,0.2831,0.9074,0.4674,0.2475,0.6648,0.4882,211,0.8406,0.3801,926
exp/cgnet_bbox_weight.pth,0.5,own (filled boxes),0.168,0.1547,0.7851,0.3693,0.1614,,,,,,
exp/cgnet_bbox_weight.pth,0.5,sam_bbox,0.2171,0.2762,0.9204,0.4712,0.2466,0.581,0.5823,158,0.756,0.4545,715
exp/cgnet_bbox_weight.pth,0.7,own (filled boxes),0.1763,0.1599,0.8343,0.3902,0.1681,,,,,,
exp/cgnet_bbox_weight.pth,0.7,sam_bbox,0.2177,0.2466,0.9286,0.4643,0.2322,0.5363,0.6071,140,0.6232,0.5009,549
exp/best_weights/cgnet_bbox_weight.pth,0.3,own (filled boxes),0.1623,0.1505,0.757,0.3566,0.1564,,,,,,
exp/best_weights/cgnet_bbox_weight.pth,0.3,sam_bbox,0.2088,0.2833,0.9142,0.4687,0.246,0.6257,0.533,182,0.7923,0.3895,860
exp/best_weights/cgnet_bbox_weight.pth,0.5,own (filled boxes),0.1573,0.1523,0.8006,0.3701,0.1548,,,,,,
exp/best_weights/cgnet_bbox_weight.pth,0.5,sam_bbox,0.1967,0.2576,0.922,0.4588,0.2271,0.5251,0.5578,147,0.6932,0.4343,670
exp/best_weights/cgnet_bbox_weight.pth,0.7,own (filled boxes),0.1665,0.1569,0.8401,0.3878,0.1617,,,,,,
exp/best_weights/cgnet_bbox_weight.pth,0.7,sam_bbox,0.1969,0.2343,0.9292,0.4535,0.2156,0.4749,0.5827,127,0.5821,0.4732,522
exp/best_weights/best_exp_cgnet_bbox_weight.pth,0.3,own (filled boxes),0.1528,0.1546,0.7629,0.3568,0.1537,,,,,,
exp/best_weights/best_exp_cgnet_bbox_weight.pth,0.3,sam_bbox,0.1964,0.2894,0.9161,0.4673,0.2429,0.6034,0.522,182,0.7947,0.4406,758
exp/best_weights/best_exp_cgnet_bbox_weight.pth,0.5,own (filled boxes),0.1582,0.16,0.816,0.378,0.1591,,,,,,
exp/best_weights/best_exp_cgnet_bbox_weight.pth,0.5,sam_bbox,0.1916,0.2576,0.9248,0.458,0.2246,0.5363,0.5782,147,0.6787,0.455,644
exp/best_weights/best_exp_cgnet_bbox_weight.pth,0.7,own (filled boxes),0.1567,0.155,0.8465,0.3861,0.1558,,,,,,
exp/best_weights/best_exp_cgnet_bbox_weight.pth,0.7,sam_bbox,0.1895,0.2251,0.9288,0.4478,0.2073,0.5251,0.6103,136,0.5531,0.4727,512
