prompter,params,GFLOPs,latency_ms
CG-Net,494232,22.93244928,9.414655685424805
Logistic regression,1538,0.012582912,0.04915200173854828
Multi-scale fusion,1406474,702.355079168,36.357120513916016
Multi-scale fusion + token gate,1415180,702.891966464,38.47679901123047
"Multi-scale fusion + token gate, CG blocks",1306724,452.441698304,62.834686279296875
"Multi-scale fusion + token gate, shared weights",392198,612.426072064,35.383296966552734
Mask-prompt generator,671138,5.7409536,0.9390079975128174
Mask-prompt generator + raw fields,686306,7.137656832,1.1407359838485718
"(frozen ClimateSAM encoder, for reference)",95987456,973.254660096,123.1493148803711
"(one SAM decoder call, one box, for reference)",5269508,16.798928896,3.55020809173584
