encoder,prompt,TC IoU,AR IoU
retrain_infused_05_00-005,union {0;1} mask,0.0255,0.0059
retrain_infused_05_00-005,per-object {0;1} mask,0.0273,0.0047
retrain_infused_05_00-005,empty mask (all zeros),0.0011,0.0000
retrain_infused_05_00-005,union logits +-2,0.0037,0.6590
retrain_infused_05_00-005,union logits +-5,0.0290,0.8078
retrain_infused_05_00-005,union logits +-10,0.1075,0.7443
retrain_infused_05_00-005,union logits +-20,0.2266,0.7632
retrain_infused_05_00-005,union logits +-40,0.2811,0.7650
retrain_infused_05_00-005,per-object logits +-2,0.0030,0.7886
retrain_infused_05_00-005,per-object logits +-5,0.0573,0.8508
retrain_infused_05_00-005,per-object logits +-10,0.0896,0.8060
retrain_infused_05_00-005,per-object logits +-20,0.1392,0.8092
retrain_infused_05_00-005,per-object logits +-40,0.1584,0.8169
retrain_infused_05_00-005,box,0.7662,0.6633
retrain_infused_05_00-005,box + union logits +-5,0.8473,0.7980
retrain_infused_05_00-005,box + union logits +-10,0.8552,0.8196
retrain_infused_05_00-005,box + union logits +-20,0.8557,0.8382
retrain_infused_05_00-005,box + per-object logits +-5,0.8487,0.8193
retrain_infused_05_00-005,box + per-object logits +-10,0.8534,0.8262
retrain_infused_05_00-005,box + per-object logits +-20,0.8538,0.8499
