checkpoint,thesis_row,adapter,mlp_ratio,prompt,seed,path,TC IoU,AR IoU,BG IoU,Mean IoU,Mean FG IoU,thesis TC IoU,thesis AR IoU
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,bbox,0,original,0.7383,0.6477,0.972,0.786,0.693,0.7244,0.6448
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,bbox,0,fixed,0.7405,0.6499,0.9727,0.7877,0.6952,0.7244,0.6448
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,point,0,original,0.5259,0.4698,0.9578,0.6512,0.4979,0.5256,0.4685
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,point,0,fixed,0.5333,0.4856,0.9577,0.6589,0.5094,0.5256,0.4685
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,random,0,original,0.6451,0.5564,0.9643,0.7219,0.6008,0.6056,0.5362
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,random,0,fixed,0.6531,0.5585,0.9641,0.7253,0.6058,0.6056,0.5362
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,random,1,original,0.6248,0.5537,0.9644,0.7143,0.5893,0.6056,0.5362
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,random,1,fixed,0.6347,0.56,0.9646,0.7198,0.5974,0.6056,0.5362
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,random,2,original,0.6115,0.556,0.9645,0.7107,0.5838,0.6056,0.5362
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,random,2,fixed,0.6207,0.5607,0.9646,0.7153,0.5907,0.6056,0.5362
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,bbox,0,original,0.7488,0.5356,0.9594,0.7479,0.6422,0.7332,0.5219
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,bbox,0,fixed,0.7478,0.6221,0.9697,0.7799,0.6849,0.7332,0.5219
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,point,0,original,0.4608,0.373,0.9431,0.5923,0.4169,0.476,0.3506
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,point,0,fixed,0.5313,0.4617,0.9556,0.6495,0.4965,0.476,0.3506
