checkpoint,thesis_row,adapter,mlp_ratio,prompt,seed,path,TC IoU,AR IoU,BG IoU,Mean IoU,Mean FG IoU,thesis TC IoU,thesis AR IoU
best_weights/infused_token_vitb_mlp1_best,,linear,1.0,bbox,0,original,0.7511,0.6639,0.9739,0.7963,0.7075,,
best_weights/infused_token_vitb_mlp1_best,,linear,1.0,bbox,0,fixed,0.7543,0.664,0.9742,0.7975,0.7092,,
best_weights/infused_token_vitb_mlp1_best,,linear,1.0,point,0,original,0.4421,0.4046,0.9475,0.5981,0.4233,,
best_weights/infused_token_vitb_mlp1_best,,linear,1.0,point,0,fixed,0.4272,0.4108,0.9515,0.5965,0.419,,
best_weights/infused_token_vitb_mlp1_best,,linear,1.0,random,0,original,0.6313,0.5165,0.9594,0.7024,0.5739,,
best_weights/infused_token_vitb_mlp1_best,,linear,1.0,random,0,fixed,0.6314,0.5249,0.9618,0.7061,0.5782,,
best_weights/infused_token_vitb_mlp1_best,,linear,1.0,random,1,original,0.6027,0.5107,0.9585,0.6906,0.5567,,
best_weights/infused_token_vitb_mlp1_best,,linear,1.0,random,1,fixed,0.5977,0.5193,0.9611,0.6927,0.5585,,
best_weights/infused_token_vitb_mlp1_best,,linear,1.0,random,2,original,0.572,0.5067,0.9584,0.6791,0.5394,,
best_weights/infused_token_vitb_mlp1_best,,linear,1.0,random,2,fixed,0.5682,0.5178,0.9613,0.6824,0.543,,
