epoch,epoch_time_s,lr,train_deep_sup,train_gen_AR,train_gen_TC,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU
1,38.110289573669434,0.001,2.628635960596579,0.6876517385796265,0.8719383526179526,4.188226036672239,,,,,
2,42.21949553489685,0.000999321619703514,2.187273890000802,0.5668842614248947,0.6297713918266473,3.3839295422589335,0.3481717168998431,0.9234582071037455,0.33853698136484095,0.5335107232778091,0.3289022458298388
3,45.21995568275452,0.0009972883382072953,2.107118665288996,0.5495684736856709,0.6011907392077975,3.25787788188016,,,,,
4,37.63873291015625,0.0009939057285945933,2.0630754901303185,0.5392459584607019,0.5944745198995979,3.196795966007091,0.35031427014576344,0.920163629969306,0.34059521638509144,0.5337846875798297,0.33087616262441943
5,37.579604625701904,0.000989183062363234,2.0210141248173183,0.5353998052853125,0.5769724776623425,3.1333864092826844,,,,,
6,37.69876527786255,0.0009831332840130888,2.011491924082791,0.5287850825874894,0.5827431651867099,3.1230201756512677,0.37484896090712566,0.9381703414913465,0.33904081381943,0.5387506563767355,0.3032326667317344
7,37.40849471092224,0.0009757729755661012,2.074866057104534,0.5451287338579143,0.5827397730339456,3.20273456286501,,,,,
8,35.635454416275024,0.0009671223111161149,2.031938999670523,0.5328940453904646,0.5869255952123139,3.151758631732729,0.3828300505423509,0.9385603417453523,0.35216514294154977,0.5476302092094839,0.3215002353407486
9,35.54009175300598,0.0009572050015330875,2.01391072317406,0.526450512861764,0.5835430300346127,3.123904265739299,,,,,
10,35.52382445335388,0.0009460482294732422,2.0203735263259324,0.5271534298305158,0.5800465323030949,3.127573497648592,0.38300946847696055,0.93725185174291,0.3525795450484446,0.5474703139465997,0.32214962161992866
11,35.585063219070435,0.0009336825748732973,2.0214616835117343,0.5297846327777262,0.5899642484331573,3.141210569496508,,,,,
12,35.49216079711914,0.000920141931132985,1.9419877467332063,0.5164634057769069,0.556550051327105,3.0150012153166306,0.38368897298569615,0.9371652513276568,0.3653002359852386,0.5559219077660447,0.346911498984781
13,35.473613023757935,0.0009054634122155991,1.9396668206762384,0.5163868366568177,0.5564222225712405,3.0124758813116284,,,,,
14,35.53422522544861,0.0008896872509212008,1.913869365277114,0.5126948088959412,0.545173597059868,2.9717377620714682,0.3905528066148979,0.9454929350475666,0.36774477652133186,0.5603274960300767,0.3449367464277659
15,35.58686923980713,0.0008728566886113103,1.9093058515478065,0.5146412614319059,0.5409286653553999,2.9648757775624595,,,,,
16,35.51738953590393,0.0008550178566873412,1.9702537344561684,0.5219131359899486,0.5594087459146977,3.0515756105935137,0.38706470249461217,0.939175321028816,0.36750672756375663,0.5580629253854431,0.3479487526329011
17,35.694385290145874,0.000836219650147635,1.9259447905752392,0.5122578321783631,0.553236570816349,2.9914391917211036,,,,,
18,35.501588106155396,0.0008165135935696697,1.9113929163526604,0.5181780937093275,0.5401076848446219,2.969678694892813,0.3865472450442364,0.9361232737187303,0.34598313588077145,0.542696515160091,0.3054190267173065
19,35.55445313453674,0.0007959536998847743,1.9663029700517654,0.5106691283208353,0.5690643620159891,3.046036461106053,,,,,
20,35.52972865104675,0.0007745963223324385,2.0956905126571654,0.5189386783926575,0.6329391448034181,3.247568342641548,0.3691947392702614,0.9270397067925078,0.3535627347355057,0.544721725421173,0.33793073020075004
21,36.731281995773315,0.0007525000000000001,1.9478900735025055,0.5082034235199292,0.5679032673162442,3.0239967646422206,,,,,
22,37.621859312057495,0.0007297252973710758,1.91850741814684,0.5115192472382828,0.5445509315778811,2.9745775918165838,0.3926899873122489,0.9439954695164517,0.3647143582751595,0.5578080620222569,0.33673872923807013
23,37.60391068458557,0.0007063346383225213,1.8833845370345645,0.5094152535553331,0.5302453714940283,2.9230451612560837,,,,,
24,37.69032335281372,0.000682392135024924,1.9102153769245855,0.5136144684972586,0.5461239860841521,2.9699538345690133,0.36710678214785136,0.9274587868532148,0.3513580908352827,0.5433916561745934,0.33560939952271407
25,37.522563457489014,0.0006579634122155991,1.9210617259696678,0.5140592132453565,0.5443611007459738,2.9794820461008285,,,,,
26,37.554606199264526,0.0006331154273257479,1.8559317674901747,0.5026909261941909,0.522112980098636,2.880735674390086,0.3901468942357012,0.9403871199258899,0.3689628874950686,0.5594376316386757,0.347778880754436
27,37.481176137924194,0.0006079162869547909,1.8476497843309687,0.5055028398279791,0.5148987624794245,2.8680513861002748,,,,,
