name,arch,mode,seed,encoder,trainable_params,best_epoch,train_time_min,val_own_TC IoU,val_own_AR IoU,val_own_BG IoU,val_own_Mean IoU,val_own_Mean FG IoU,method,threshold,val_TC IoU,val_AR IoU,val_BG IoU,val_Mean IoU,val_Mean FG IoU,test_sam_bbox,k,test,val_sam_TC IoU,val_sam_AR IoU,val_sam_BG IoU,val_sam_Mean IoU,val_sam_Mean FG IoU,real_prompts
cgnet_scratch_seg_s0,cgnet_scratch,seg,0,infused_mlp1,494232,16,28.31386874119441,0.37344373078445103,0.40322492320197617,0.9429642061789452,0.5732109533884574,0.3883343269932136,cgnet_scratch_seg,,,,,,,,,,,,,,,
cgnet_scratch_seg_s1,cgnet_scratch,seg,1,infused_mlp1,494232,16,25.147015329202016,0.3684776302000171,0.4037666139445245,0.9503589408907477,0.5742010616784298,0.3861221220722708,cgnet_scratch_seg,,,,,,,,,,,,,,,
cgnet_scratch_seg_s2,cgnet_scratch,seg,2,infused_mlp1,494232,20,30.286051154136658,0.351986203347133,0.40753575840717393,0.9497150283302921,0.569745663361533,0.3797609808771535,cgnet_scratch_seg,,,,,,,,,,,,,,,
cgnet_train_seg_s0,cgnet_train,seg,0,infused_mlp1,494232,4,28.44000940322876,0.40404060864351576,0.48152952326744564,0.9546766714937462,0.6134156011349026,0.44278506595548073,cgnet_train_seg,,,,,,,,,,,,,,,
cgnet_train_seg_s1,cgnet_train,seg,1,infused_mlp1,494232,10,26.150126723448434,0.41047496768708214,0.48090250896735787,0.9558520254129842,0.615743167355808,0.44568873832722,cgnet_train_seg,,,,,,,,,,,,,,,
det_head_s0,,,0,,608778,26,100.17379454771678,,,,,,det_head,0.7,0.07773115961128803,0.30700128388384784,0.8832623859079859,0.4226649431343739,0.19236622174756793,"{'TC IoU': 0.09506373852853375, 'AR IoU': 0.3211133679264806, 'BG IoU': 0.8865847913443575, 'Mean IoU': 0.434253965933124, 'Mean FG IoU': 0.2080885532275072}",,,,,,,,
learned_prompt_k16_s0,,,0,,8192,48,14.167385113239288,,,,,,learned_prompt_k16,,0.25492475752511257,0.33085226821174674,0.9293595776486441,0.5050455344618344,0.29288851286842965,,16.0,"{'TC IoU': 0.24754393169701708, 'AR IoU': 0.3293182183192274, 'BG IoU': 0.929537317843404, 'Mean IoU': 0.5021331559532162, 'Mean FG IoU': 0.28843107500812226, 'TC recall': 0.8770949720670391, 'TC precision': 0.21643835616438356, 'TC objects': 730, 'AR recall': 0.9806763285024155, 'AR precision': 0.2232407657050418, 'AR objects': 3709}",,,,,,
learned_prompt_k4_s0,,,0,,2048,54,13.812193596363068,,,,,,learned_prompt_k4,,0.24088779941550814,0.32690407055803666,0.9262835684897838,0.4980251461544429,0.2838959349867724,,4.0,"{'TC IoU': 0.23723306258887014, 'AR IoU': 0.3330732387129745, 'BG IoU': 0.9278467867567513, 'Mean IoU': 0.4993843626861986, 'Mean FG IoU': 0.28515315065092234, 'TC recall': 0.8659217877094972, 'TC precision': 0.19188191881918815, 'TC objects': 813, 'AR recall': 0.9782608695652174, 'AR precision': 0.20849107625743646, 'AR objects': 3698}",,,,,,
learned_prompt_k4_s1,,,1,,2048,38,12.127337058385214,,,,,,learned_prompt_k4,,0.2364156766177905,0.31826577743251067,0.929534047273505,0.4947385004412687,0.27734072702515056,,4.0,"{'TC IoU': 0.23697383104464115, 'AR IoU': 0.3214931633919116, 'BG IoU': 0.9288213377058241, 'Mean IoU': 0.4957627773807923, 'Mean FG IoU': 0.2792334972182764, 'TC recall': 0.8770949720670391, 'TC precision': 0.19541616405307605, 'TC objects': 829, 'AR recall': 0.9782608695652174, 'AR precision': 0.21224379719525355, 'AR objects': 3708}",,,,,,
learned_prompt_k4_s2,,,2,,2048,52,11.76103994846344,,,,,,learned_prompt_k4,,0.24021400054954825,0.3082487526771001,0.9162077667616,0.48822350666274944,0.2742313766133242,,4.0,"{'TC IoU': 0.23614393971951236, 'AR IoU': 0.3174257352281744, 'BG IoU': 0.9203394798130529, 'Mean IoU': 0.49130305158691323, 'Mean FG IoU': 0.2767848374738434, 'TC recall': 0.888268156424581, 'TC precision': 0.19786729857819907, 'TC objects': 844, 'AR recall': 0.9830917874396136, 'AR precision': 0.17736318407960194, 'AR objects': 4020}",,,,,,
