Prompter,Trainable parameters,Training time (min),Selected epoch
"CG-Net (re-trained on 358 images, official init.)","494,232",27.3,7
CG-Net (trained from scratch on 358 images),"494,232",27.9,17
"Logistic regression, ViT block 1","1,538",1.4,46
"Logistic regression, ViT block 12","1,538",2.0,39
Multi-scale fusion,"1,406,474",82.6,38
Multi-scale fusion + token gate,"1,415,180",46.0,39
"Multi-scale fusion + token gate, CG blocks","1,306,724",151.1,8
"Multi-scale fusion + token gate, shared weights","392,198",45.8,32
Mask-prompt generator (segmentation loss),"671,138",3.7,29
Mask-prompt generator (end-to-end via SAM),"671,138",26.4,23
Mask-prompt generator (two-stage),"671,138",12.4,4
"Mask-prompt generator (segmentation loss, label smoothing)","671,138",4.2,29
Mask-prompt generator + raw CG-Net fields,"686,306",5.9,29
Box head on SAM features (YOLO-style),"608,778",68.6,20
Learned static prompts (4 tokens / class),"2,048",12.6,48
Learned static prompts (16 tokens / class),"8,192",14.2,48
