Prompter,Output,TC IoU,AR IoU,BG IoU,Mean IoU,Mean FG IoU
Ground truth (oracle),Prompter mask (no SAM),1.000,1.000,1.000,1.000,1.000
,SAM + box,0.728,0.650,0.973,0.784,0.689
,SAM + hybrid,0.857,0.905,0.993,0.918,0.881
CG-Net (official weights),Prompter mask (no SAM),0.327,0.333,0.926,0.529,0.330
,SAM + box,0.318,0.342,0.931,0.530,0.330
,SAM + hybrid,0.328,0.339,0.929,0.532,0.333
CG-Net (fine-tuned),Prompter mask (no SAM),0.349,0.382,0.940,0.557,0.366
,SAM + box,0.341,0.375,0.940,0.552,0.358
,SAM + hybrid,0.348,0.384,0.941,0.558,0.366
"Logistic regression, ViT block 1",Prompter mask (no SAM),0.185 ± 0.001,0.305 ± 0.001,0.924 ± 0.003,0.471 ± 0.002,0.245 ± 0.001
,SAM + box,0.186 ± 0.002,0.312 ± 0.003,0.925 ± 0.002,0.474 ± 0.000,0.249 ± 0.001
,SAM + hybrid,0.186 ± 0.001,0.310 ± 0.001,0.928 ± 0.003,0.474 ± 0.001,0.248 ± 0.001
"Logistic regression, ViT block 12",Prompter mask (no SAM),0.295 ± 0.004,0.388 ± 0.002,0.941 ± 0.001,0.542 ± 0.002,0.342 ± 0.003
,SAM + box,0.297 ± 0.002,0.377 ± 0.001,0.937 ± 0.001,0.537 ± 0.002,0.337 ± 0.002
,SAM + hybrid,0.300 ± 0.004,0.367 ± 0.006,0.946 ± 0.001,0.538 ± 0.003,0.333 ± 0.004
Multi-scale fusion,Prompter mask (no SAM),0.330,0.409,0.943,0.561,0.370
,SAM + box,0.337,0.397,0.941,0.558,0.367
,SAM + hybrid,0.337,0.404,0.946,0.562,0.370
Multi-scale fusion + token gate,Prompter mask (no SAM),0.319,0.404,0.941,0.555,0.362
,SAM + box,0.327,0.390,0.938,0.552,0.358
,SAM + hybrid,0.329,0.404,0.945,0.559,0.367
Mask-prompt generator (segmentation loss),Prompter mask (no SAM),0.330 ± 0.010,0.410 ± 0.005,0.944 ± 0.003,0.561 ± 0.004,0.370 ± 0.008
,SAM + box,0.333 ± 0.008,0.395 ± 0.003,0.941 ± 0.003,0.557 ± 0.003,0.364 ± 0.006
,SAM + hybrid,0.332 ± 0.011,0.404 ± 0.010,0.947 ± 0.002,0.561 ± 0.006,0.368 ± 0.010
Mask-prompt generator (end-to-end via SAM),Prompter mask (no SAM),0.323 ± 0.009,0.350 ± 0.015,0.947 ± 0.001,0.540 ± 0.007,0.336 ± 0.012
,SAM + box,0.328 ± 0.008,0.383 ± 0.005,0.943 ± 0.003,0.552 ± 0.003,0.356 ± 0.006
,SAM + hybrid,0.328 ± 0.009,0.357 ± 0.024,0.951 ± 0.001,0.546 ± 0.010,0.343 ± 0.016
Mask-prompt generator (two-stage),Prompter mask (no SAM),0.326 ± 0.005,0.410 ± 0.001,0.940 ± 0.002,0.559 ± 0.002,0.368 ± 0.003
,SAM + box,0.333 ± 0.007,0.393 ± 0.004,0.937 ± 0.002,0.554 ± 0.004,0.363 ± 0.005
,SAM + hybrid,0.331 ± 0.007,0.413 ± 0.002,0.945 ± 0.001,0.563 ± 0.002,0.372 ± 0.003
"Mask-prompt generator (segmentation loss, label smoothing)",Prompter mask (no SAM),0.334 ± 0.004,0.409 ± 0.003,0.945 ± 0.001,0.563 ± 0.002,0.371 ± 0.002
,SAM + box,0.338 ± 0.008,0.398 ± 0.002,0.943 ± 0.001,0.560 ± 0.003,0.368 ± 0.004
,SAM + hybrid,0.336 ± 0.004,0.403 ± 0.004,0.948 ± 0.000,0.562 ± 0.001,0.369 ± 0.002
