Ground-truth prompt,MLP 1.0,MLP 0.5,adapted to MPG hybrid prompts (OOF),adapted to MPG boxes (OOF),"prompt-robust, box","prompt-robust, box (seed 1)","prompt-robust, hybrid","prompt-robust, hybrid (seed 1)","prompt-robust, hybrid, corrupted GT only (selected: epoch 0)","prompt-robust, hybrid, corrupted GT only (last epoch)"
tight box,0.72 / 0.62,0.73 / 0.65,0.70 / 0.59,0.68 / 0.59,0.68 / 0.58,0.68 / 0.59,0.72 / 0.46,0.70 / 0.39,0.72 / 0.62,0.71 / 0.32
box enlarged 20\%,0.46 / 0.48,0.44 / 0.49,0.45 / 0.49,0.59 / 0.52,0.60 / 0.52,0.61 / 0.52,0.54 / 0.48,0.61 / 0.44,0.46 / 0.48,0.62 / 0.32
box shrunk 20\%,0.43 / 0.32,0.43 / 0.31,0.48 / 0.29,0.46 / 0.37,0.38 / 0.34,0.43 / 0.36,0.43 / 0.20,0.42 / 0.18,0.43 / 0.32,0.43 / 0.16
"box, 25\% of objects not prompted",0.55 / 0.48,0.55 / 0.50,0.54 / 0.45,0.50 / 0.46,0.50 / 0.45,0.50 / 0.46,0.54 / 0.34,0.52 / 0.30,0.55 / 0.48,0.52 / 0.24
box + 1 false box per class,0.57 / 0.58,0.58 / 0.58,0.56 / 0.55,0.64 / 0.58,0.66 / 0.56,0.65 / 0.56,0.60 / 0.45,0.62 / 0.39,0.57 / 0.58,0.64 / 0.32
box + 3 false boxes per class,0.41 / 0.48,0.41 / 0.47,0.41 / 0.47,0.60 / 0.54,0.63 / 0.50,0.63 / 0.50,0.46 / 0.41,0.54 / 0.36,0.41 / 0.48,0.55 / 0.31
mask logits  ± 10,0.77 / 0.92,0.23 / 0.90,0.73 / 0.88,0.62 / 0.88,0.15 / 0.86,0.11 / 0.90,0.54 / 0.90,0.00 / 0.92,0.77 / 0.92,0.00 / 0.92
mask eroded 5 px,0.61 / 0.86,0.16 / 0.86,0.57 / 0.82,0.48 / 0.80,0.09 / 0.79,0.06 / 0.85,0.39 / 0.84,0.00 / 0.86,0.61 / 0.86,0.00 / 0.84
mask dilated 5 px,0.85 / 0.89,0.32 / 0.88,0.83 / 0.89,0.76 / 0.90,0.21 / 0.89,0.16 / 0.88,0.72 / 0.90,0.00 / 0.90,0.85 / 0.89,0.00 / 0.91
box + mask logits  ± 10,0.87 / 0.88,0.86 / 0.87,0.87 / 0.83,0.84 / 0.77,0.82 / 0.86,0.84 / 0.86,0.88 / 0.83,0.86 / 0.87,0.87 / 0.88,0.88 / 0.88
