Prompter,Prompter mask (no SAM),SAM + box,SAM + box (+10%),SAM + points,SAM + box + points,SAM + mask logits,SAM + box + mask,SAM + hybrid,"mean(prompter, SAM hybrid)",SAM + learned static prompts
Ground truth (oracle),1.00 / 1.00,0.73 / 0.65,0.58 / 0.58,0.59 / 0.58,0.64 / 0.64,0.23 / 0.90,0.86 / 0.87,0.86 / 0.90,0.95 / 0.98,--
CG-Net (official weights),0.33 / 0.33,0.32 / 0.34,0.28 / 0.34,0.27 / 0.31,0.29 / 0.33,0.17 / 0.34,0.33 / 0.34,0.33 / 0.34,--,--
CG-Net (fine-tuned),0.35 / 0.38,0.34 / 0.37,0.31 / 0.36,0.30 / 0.34,0.33 / 0.37,0.14 / 0.38,0.35 / 0.38,0.35 / 0.38,--,--
"Logistic regression, ViT block 1",0.18 / 0.30,0.19 / 0.31,0.18 / 0.31,0.15 / 0.26,0.18 / 0.29,0.00 / 0.31,0.18 / 0.31,0.19 / 0.31,0.19 / 0.31,--
"Logistic regression, ViT block 12",0.30 / 0.39,0.30 / 0.38,0.29 / 0.37,0.24 / 0.32,0.28 / 0.36,0.00 / 0.37,0.30 / 0.38,0.30 / 0.37,0.30 / 0.37,--
Multi-scale fusion,0.33 / 0.41,0.34 / 0.40,0.32 / 0.39,0.31 / 0.34,0.33 / 0.39,0.15 / 0.40,0.34 / 0.41,0.34 / 0.40,0.34 / 0.41,--
Multi-scale fusion + token gate,0.32 / 0.40,0.33 / 0.39,0.32 / 0.38,0.30 / 0.34,0.33 / 0.38,0.02 / 0.40,0.33 / 0.41,0.33 / 0.40,0.33 / 0.40,--
Mask-prompt generator (segmentation loss),0.33 / 0.41,0.33 / 0.40,0.31 / 0.38,0.31 / 0.35,0.33 / 0.38,0.06 / 0.40,0.33 / 0.41,0.33 / 0.40,0.33 / 0.41,--
Mask-prompt generator (end-to-end via SAM),0.32 / 0.35,0.33 / 0.38,0.31 / 0.39,0.30 / 0.32,0.32 / 0.33,0.03 / 0.36,0.33 / 0.38,0.33 / 0.36,0.33 / 0.36,--
Mask-prompt generator (two-stage),0.33 / 0.41,0.33 / 0.39,0.31 / 0.37,0.31 / 0.34,0.32 / 0.38,0.05 / 0.41,0.33 / 0.41,0.33 / 0.41,0.33 / 0.41,--
"Mask-prompt generator (segmentation loss, label smoothing)",0.33 / 0.41,0.34 / 0.40,0.32 / 0.39,0.31 / 0.34,0.33 / 0.39,0.07 / 0.40,0.34 / 0.41,0.34 / 0.40,0.34 / 0.40,--
