Prompter,Prompter mask (no SAM),SAM + box,SAM + box (+10%),SAM + points,SAM + box + points,SAM + mask logits,SAM + box + mask,SAM + hybrid,"mean(prompter, SAM hybrid)",SAM + learned static prompts
Ground truth (oracle),1.00 / 1.00,0.72 / 0.62,0.59 / 0.57,0.53 / 0.58,0.58 / 0.60,0.77 / 0.92,0.87 / 0.88,0.87 / 0.92,0.95 / 0.98,--
CG-Net (official weights),0.33 / 0.33,0.32 / 0.34,0.28 / 0.34,0.25 / 0.31,0.28 / 0.32,0.33 / 0.34,0.33 / 0.34,0.33 / 0.34,--,--
CG-Net (fine-tuned),0.35 / 0.38,0.34 / 0.37,0.31 / 0.36,0.28 / 0.34,0.32 / 0.36,0.34 / 0.38,0.35 / 0.38,0.35 / 0.38,--,--
"CG-Net (re-trained on 358 images, official init.)",0.35 / 0.40,0.35 / 0.39,0.33 / 0.38,0.29 / 0.36,0.32 / 0.37,0.34 / 0.40,0.35 / 0.40,0.35 / 0.40,--,--
CG-Net (trained from scratch on 358 images),0.34 / 0.39,0.34 / 0.38,0.33 / 0.37,0.31 / 0.35,0.33 / 0.37,0.32 / 0.40,0.34 / 0.39,0.34 / 0.40,--,--
"Logistic regression, ViT block 1",0.20 / 0.32,0.20 / 0.32,0.19 / 0.32,0.14 / 0.27,0.18 / 0.30,0.04 / 0.32,0.20 / 0.31,0.21 / 0.32,0.21 / 0.32,--
"Logistic regression, ViT block 12",0.30 / 0.39,0.29 / 0.36,0.28 / 0.35,0.25 / 0.31,0.28 / 0.35,0.04 / 0.37,0.29 / 0.36,0.30 / 0.37,0.30 / 0.37,--
Multi-scale fusion,0.33 / 0.40,0.34 / 0.38,0.33 / 0.38,0.30 / 0.35,0.33 / 0.37,0.31 / 0.39,0.33 / 0.38,0.33 / 0.39,0.33 / 0.39,--
Multi-scale fusion + token gate,0.32 / 0.40,0.34 / 0.38,0.32 / 0.38,0.28 / 0.34,0.32 / 0.37,0.26 / 0.39,0.33 / 0.38,0.33 / 0.39,0.33 / 0.39,--
"Multi-scale fusion + token gate, CG blocks",0.32 / 0.35,0.29 / 0.34,0.27 / 0.30,0.26 / 0.28,0.28 / 0.30,0.18 / 0.39,0.31 / 0.38,0.32 / 0.39,0.32 / 0.39,--
"Multi-scale fusion + token gate, shared weights",0.33 / 0.40,0.34 / 0.39,0.32 / 0.38,0.29 / 0.34,0.33 / 0.37,0.23 / 0.39,0.33 / 0.39,0.33 / 0.39,0.33 / 0.39,--
Mask-prompt generator (segmentation loss),0.34 / 0.41,0.34 / 0.39,0.32 / 0.38,0.30 / 0.35,0.32 / 0.37,0.30 / 0.40,0.34 / 0.39,0.34 / 0.40,0.34 / 0.40,--
Mask-prompt generator (end-to-end via SAM),0.33 / 0.38,0.34 / 0.38,0.32 / 0.38,0.29 / 0.31,0.32 / 0.36,0.30 / 0.40,0.33 / 0.38,0.33 / 0.40,0.33 / 0.40,--
Mask-prompt generator (two-stage),0.34 / 0.41,0.33 / 0.39,0.31 / 0.36,0.29 / 0.33,0.32 / 0.36,0.29 / 0.41,0.33 / 0.40,0.34 / 0.41,0.34 / 0.41,--
"Mask-prompt generator (segmentation loss, label smoothing)",0.34 / 0.41,0.34 / 0.39,0.32 / 0.37,0.31 / 0.35,0.33 / 0.37,0.29 / 0.40,0.33 / 0.40,0.33 / 0.40,0.34 / 0.40,--
Mask-prompt generator + raw CG-Net fields,0.34 / 0.41,0.34 / 0.39,0.32 / 0.37,0.30 / 0.35,0.32 / 0.37,0.30 / 0.40,0.34 / 0.39,0.34 / 0.40,0.34 / 0.40,--
Box head on SAM features (YOLO-style),0.09 / 0.16,0.11 / 0.30,--,--,--,--,--,--,--,--
Learned static prompts (4 tokens / class),--,--,--,--,--,--,--,--,--,0.24 / 0.32
Learned static prompts (16 tokens / class),--,--,--,--,--,--,--,--,--,0.25 / 0.33
