Model,Parameters,GFLOPs / image,"Latency (ms, A100, batch 1)"
CG-Net,"494,232",22.93,9.41
Logistic regression,"1,538",0.01,0.05
Multi-scale fusion,"1,406,474",702.36,36.36
Multi-scale fusion + token gate,"1,415,180",702.89,38.48
"Multi-scale fusion + token gate, CG blocks","1,306,724",452.44,62.83
"Multi-scale fusion + token gate, shared weights","392,198",612.43,35.38
Mask-prompt generator,"671,138",5.74,0.94
Mask-prompt generator + raw fields,"686,306",7.14,1.14
"(frozen ClimateSAM encoder, for reference)","95,987,456",973.25,123.15
"(one SAM decoder call, one box, for reference)","5,269,508",16.80,3.55
