Prompt type,Pos.,Neg.,Enlarge,IoU AR,IoU TC,IoU AR (orig. script),IoU TC (orig. script)
CG-Net alone (baseline),,,,0.3817,0.3494,,
bbox,0,0,0.0,0.3690,0.3414,0.3630,0.3390
mask,0,0,0.0,0.3758,0.3343,0.3568,0.3251
bbox,0,0,-0.1,0.3267,0.3327,0.3294,0.3315
point+bbox,15,10,0.0,0.3305,0.3252,0.3115,0.3232
point+bbox,10,5,0.0,0.3427,0.3235,0.3254,0.3181
point,5,10,0.0,0.3373,0.3178,0.3236,0.3139
point,1,3,0.0,0.2713,0.3171,0.2774,0.3138
point,5,5,0.0,0.3375,0.3128,0.3259,0.3093
bbox,0,0,0.1,0.3582,0.3073,0.3436,0.3062
point,2,2,0.0,0.3180,0.3048,0.3148,0.2986
point,1,2,0.0,0.2866,0.3038,0.2878,0.3023
point,1,1,0.0,0.3086,0.2964,0.3049,0.2946
point,10,10,0.0,0.3262,0.2923,0.3031,0.2847
bbox,0,0,0.2,0.3334,0.2703,0.3110,0.2706
bbox,0,0,-0.2,0.2288,0.2502,0.2357,0.2506
point+bbox+mask,20,10,0.0,0.3313,0.2396,0.3212,0.2184
bbox,0,0,0.3,0.2991,0.2358,0.2717,0.2376
bbox,0,0,0.5,0.2372,0.1822,0.2042,0.1837
point+bbox+mask,10,5,0.0,0.3471,0.1357,0.3390,0.1222
