Infused Token,Prompt,Comparison (B - A),\Delta TC [95\% CI],\Delta AR [95\% CI],\Delta mean FG [95\% CI]
MLP 1.0,box,nonlinear: adapter applied vs. skipped,"-0.012 [-0.021, -0.002]","+0.118 [+0.097, +0.137]","+0.053 [+0.042, +0.064]"
MLP 1.0,box,"linear vs. nonlinear, as in the thesis","-0.002 [-0.010, +0.005]","+0.177 [+0.158, +0.193]","+0.087 [+0.077, +0.096]"
MLP 1.0,box,"linear vs. nonlinear, adapter applied","+0.015 [+0.006, +0.024]","+0.069 [+0.056, +0.081]","+0.042 [+0.035, +0.048]"
MLP 1.0,point,nonlinear: adapter applied vs. skipped,"+0.126 [+0.102, +0.150]","+0.126 [+0.114, +0.138]","+0.126 [+0.112, +0.140]"
MLP 1.0,point,"linear vs. nonlinear, as in the thesis","+0.131 [+0.111, +0.152]","+0.128 [+0.114, +0.142]","+0.129 [+0.118, +0.142]"
MLP 1.0,point,"linear vs. nonlinear, adapter applied","+0.011 [-0.004, +0.027]","+0.013 [+0.003, +0.025]","+0.012 [+0.003, +0.023]"
MLP 1.0,random,nonlinear: adapter applied vs. skipped,"+0.103 [+0.060, +0.144]","+0.143 [+0.128, +0.157]","+0.123 [+0.099, +0.145]"
MLP 1.0,random,"linear vs. nonlinear, as in the thesis","+0.101 [+0.063, +0.139]","+0.172 [+0.153, +0.190]","+0.137 [+0.115, +0.156]"
MLP 1.0,random,"linear vs. nonlinear, adapter applied","+0.014 [+0.000, +0.026]","+0.037 [+0.025, +0.050]","+0.026 [+0.016, +0.034]"
MLP 0.5,box,nonlinear: adapter applied vs. skipped,"-0.001 [-0.007, +0.005]","+0.087 [+0.076, +0.098]","+0.043 [+0.036, +0.049]"
MLP 0.5,box,"linear vs. nonlinear, as in the thesis","-0.010 [-0.018, -0.003]","+0.112 [+0.098, +0.128]","+0.051 [+0.043, +0.059]"
MLP 0.5,box,"linear vs. nonlinear, adapter applied","-0.007 [-0.014, -0.000]","+0.028 [+0.018, +0.037]","+0.010 [+0.004, +0.016]"
MLP 0.5,point,nonlinear: adapter applied vs. skipped,"+0.070 [+0.038, +0.108]","+0.089 [+0.077, +0.101]","+0.080 [+0.062, +0.099]"
MLP 0.5,point,"linear vs. nonlinear, as in the thesis","+0.065 [+0.028, +0.107]","+0.097 [+0.083, +0.110]","+0.081 [+0.060, +0.103]"
MLP 0.5,point,"linear vs. nonlinear, adapter applied","+0.002 [-0.016, +0.018]","+0.024 [+0.015, +0.034]","+0.013 [+0.002, +0.023]"
MLP 0.5,random,nonlinear: adapter applied vs. skipped,"+0.035 [+0.013, +0.058]","+0.090 [+0.077, +0.102]","+0.062 [+0.049, +0.075]"
MLP 0.5,random,"linear vs. nonlinear, as in the thesis","+0.007 [-0.024, +0.039]","+0.118 [+0.098, +0.137]","+0.062 [+0.044, +0.081]"
MLP 0.5,random,"linear vs. nonlinear, adapter applied","-0.020 [-0.038, -0.005]","+0.030 [+0.018, +0.043]","+0.005 [-0.005, +0.014]"
